ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.3,0.22500000000000003,True,-0.5857287803286766,2.064724024596925e-09,0.0075668323954754405,0.9986817851632384,0.5194977545673657,0.41430478272446764,0.21788956210322893,0.42921986200957385,-0.1912526440538304,3.141593707642995,0.00014523610847185948,3.14137624834323
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,0.22500000000000003,True,-0.46654229169161676,1.4698886252175726e-09,0.002777070013074375,0.7018164660179436,0.4990289910586418,0.09079723961170091,0.1429497289750016,0.177830658970566,-0.14430826998624088,3.1419051001128455,3.2310009896492424,3.140598642852552
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,0.22500000000000003,True,-0.5633978491220499,1.7202295187280552e-09,0.0017728639477549474,0.9433715835509763,0.5125876080944849,0.13434752781293458,-0.44559662286699137,0.1985137185841083,0.3716529186128587,1.941814371679312,3.1384602282019265,4.102201082523925,5.304706437527857
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.3,0.22500000000000003,True,-0.5240777749134472,7.043506984831178e-09,0.009666437045823671,0.8487896709479428,0.4983399093621043,-0.34001074114594815,0.1601302708210504,0.2962848240727546,0.001489449786932745,5.395151150202674,3.141789101376966,2.0432349460680426,1.7025781379412739
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,-0.3,0.22500000000000003,True,-0.4966827994317513,1.0128624070443955e-09,0.010560310011835296,0.7766213181491379,0.5004713872069494,0.06706197206473637,0.14883495251762108,0.26854793332903615,0.04855494010989262,1.0118817115708414,3.138640090180244,3.628441511652535,4.281133800829607,3.3069445842014304
