ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.15,0.22500000000000003,True,-0.5306985559222341,2.4064208805941153e-09,0.004175958614134861,0.8711431392130928,0.5193952606082537,0.3858086738021893,0.20566795429906434,0.4002816057660279,0.16069611095256792,6.282313712736414
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.15,0.22500000000000003,False,-0.46747121815665715,1.997418163664918e-09,0.003547156722669359,0.7031203453719358,0.5096587553877528,4.0291015708959765e-05,0.16345645041230286,0.17946587395243152,0.1915780640416605,4.711765930845097
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.15,0.22500000000000003,False,-0.4840812884187973,0.00030574757029878724,0.07932279058354656,0.74634914754489,0.4877254432897487,6.539190351926987e-09,0.3059531270498478,0.12300859822908895,0.2534208989735009,6.282903857181027,3.1407840242968788
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.15,0.22500000000000003,False,-0.505489465028805,0.013366460601652336,0.13920210054026666,0.7780814666133504,0.5027308978604236,1.9682678730925662e-05,4.258115154920361e-08,6.102190460083312e-05,4.467265057872538e-09,4.711808614174467,4.712248607010986
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.15,0.22500000000000003,False,-0.5189105099521809,8.225533156820433e-10,0.013765510336089378,0.8226173964439633,0.5028582115507746,1.9773778956566623e-05,1.1183842106299302e-05,0.20956635965156406,3.19789473137988e-05,1.5709136866570035,0.0008158377607201395
