J2,J3,Energy,Sigma,L,A1,A3,B1,B2,B3
-0.3,-0.3,-0.31324048586758707,2.1712144902757938e-13,0.5340776226673468,0.39645317137846214,0.04830372548991842,0.1028860444329538,0.17022794164537705,0.10606135084887441
0,0,-0.3008917444623693,2.2738702026838234e-12,0.502260899319628,0.3969201604387317,0.05283631635127424,0.0842611960574955,0.17253074815582795,0.10862395874755179
-0.3,-0.09999999999999998,-0.31177508683091076,2.96099701319035e-14,0.5299632639690085,0.39699322962375383,0.05971710674897642,0.10513483914876283,0.17371213639049443,0.096205478364661
-0.3,0.10000000000000003,-0.31102714261366776,7.0721792659525785e-15,0.5278395069118825,0.39676159852221166,0.07927705288975372,0.10850377608280251,0.18202564656524656,0.08801991126153946
-0.3,0.0,-0.31129695154960413,2.659803252319378e-13,0.5286094770973574,0.39700552311245774,0.048952873265234245,0.10661062886749947,0.17702007385945676,0.09785021879127126
-0.3,0.3,-0.311479514507072,1.105008293871704e-13,0.5289922268938279,0.3944837018380518,0.11818634385060472,0.11433802407347345,0.20068450381088723,0.08091062064511657
0.0,-0.3,-0.301953569380186,2.198234227625465e-13,0.5060081008525692,0.39497755541170954,0.0031030429710982663,0.07835570429908709,0.31097263228962024,0.08604697823899671
0.0,0.3,-0.30056229150622227,1.6715373348143487e-14,0.5017676440437119,0.3969965506200272,-0.0007670404587655236,0.08480341723643924,0.27416427242223895,0.02984284000343345
0.3,-0.3,-0.29721606809551243,2.351229830229091e-13,0.49462009782400734,0.39480779092034257,-0.013296336811492239,0.07592329497408379,0.07561691286781747,0.04009327407260978
0.3,0.0,-0.2969165336585231,8.824450432364544e-13,0.4941061767377792,0.39501822914185836,-0.01349951671445552,0.0771434612437889,0.07370959855549764,0.04004573636753308
0.3,0.3,-0.2967589412386013,2.5549525893649245e-13,0.49378389176216536,0.39491488527795715,-0.018629119911726454,0.07732558898513398,0.07181490862226436,0.02630909437282422
